VIN,Stock#,Year,Make,Model,Type,Drive,Odo,Engine,Transmission,Ext color,yard_number,yard_name,Live Start,day_of_week,Event,time_zone,item,lot_number,vehicle_type,year,make,model_group,model_detail,body_style,color,damage_description,secondary_damage,sale_title_state,sale_title_type,has_keys,lot_cond_code,odometer_brand,est_retail_value,repair_cost,fuel_type,cylinders,runs_drives,sale_status,high_bid_non_vix_sealed_vix,special_note,Location,location_state,location_zip5,location_zip4,location_country,currency_code,image_thumbnail,create_date_time,grid_row,make_an_offer_eligible,Current Bid,image_url,trim,last_updated_time,rentals,copart_select,source,Timestamp
KNDJF724187527737,PWW347578,2008,Kia,SPORTAGE LX,SUV,FWD,156778                                                                                                        ACTUAL,2.0L I4 140hp 136ft. lbs.,Automatic,Red,,,05/31/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm May 31, 2023",, 2008 Kia SPORTAGELX ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
KMHDN46D05U966428,PET478122,2005,Hyundai,Elantra,Sedan,FWD,199239                                                                                                        ACTUAL,2.0L NA I4 double overhead cam (DOHC) 16V,Automatic,Red,,,05/30/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm May 30, 2023",, 2005 Hyundai Elantra ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
1N6BF0KM8GN810543,NWW252952,2016,NISSAN,NV,Full-Size,RWD,179613                                                                                                        ACTUAL,4.0L V6 261hp 281ft. lbs.,Automatic,WHITE,,,06/10/2023                                            Go to event list,,"Manchester Internet Auction 09:00 am June 10, 2023",, 2016 NISSAN NV ,,,,,,,,,,,,,,,,,,,,,,,,"Manchester, NH",,,,,$,,,,,,,,,,,,
5XYZT3LB3DG070279,NNH22254,2013,Hyundai,Santa Fe Sport,SUV,FWD,122158                                                                                                        ACTUAL,2.4L I4 190hp 181ft. lbs.,Automatic,BLACK,,,06/03/2023                                            Go to event list,,"Manchester Internet Auction 09:00 am June 03, 2023",, 2013 Hyundai SantaFeSport ,,,,,,,,,,,,,,,,,,,,,,,,"Manchester, NH",,,,,$,,,,,,,,,,,,
1FAHP35N69W250430,DCS483172,2009,Ford,Focus,Sedan,FWD,147850                                                                                                        ACTUAL,2.0L I4 140hp 136ft. lbs.,Automatic,SILVER,,,05/31/2023                                            Go to event list,,"Washington Internet Auction 10:00 am May 31, 2023",, 2009 Ford Focus ,,,,,,,,,,,,,,,,,,,,,,,,"Temple Hills, MD",,,,,$,,,,,,,,,,,,
KNDJC733365504466,PHV160187,2006,Kia,SORENTO EX,SUV,4WD,124296                                                                                                        ACTUAL,3L NA V6 double overhead cam (DOHC) 24V,Automatic,WHITE,,,05/31/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm May 31, 2023",, 2006 Kia SORENTOEX ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
5NPEU46F67H207082,PHV160185,2007,Hyundai,Sonata,Sedan,FWD,67442                                                                                                        ACTUAL,3.3L V6 234hp 226ft. lbs.,Automatic,GRAY,,,05/30/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm May 30, 2023",, 2007 Hyundai Sonata ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
1N4BA41EX4C843009,NEI422410,2004,NISSAN,MAXIMA,Sedan,FWD,183214                                                                                                        ACTUAL,3L NA V6 double overhead cam (DOHC) 24V,Automatic,GRAY,,,06/10/2023                                            Go to event list,,"Manchester Internet Auction 09:00 am June 10, 2023",, 2004 NISSAN MAXIMA ,,,,,,,,,,,,,,,,,,,,,,,,"Manchester, NH",,,,,$,,,,,,,,,,,,
KMHTC6AD5GU277105,NNH22341,2016,Hyundai,Veloster,coupe,FWD,153017                                                                                                        ACTUAL,1.6L I4 132hp 120ft. lbs.,Automatic,SILVER,,,06/03/2023                                            Go to event list,,"Manchester Internet Auction 09:00 am June 03, 2023",, 2016 Hyundai Veloster ,,,,,,,,,,,,,,,,,,,,,,,,"Manchester, NH",,,,,$,,,,,,,,,,,,
1FMCU04198KE21991,DCS480787,2008,Ford,Escape,SUV,FWD,153017                                                                                                        ACTUAL,3.0L V6 double overhead camshaft 24V,Automatic,SILVER,,,05/31/2023                                            Go to event list,,"Washington Internet Auction 10:00 am May 31, 2023",, 2008 Ford Escape ,,,,,,,,,,,,,,,,,,,,,,,,"Temple Hills, MD",,,,,$,,,,,,,,,,,,
